Location(x=290.895691, y=326.610138, z=0.000482)
Location(x=290.388519, y=326.610138, z=0.000484)
Location(x=289.856842, y=326.610138, z=0.000478)
Location(x=289.314148, y=326.610138, z=0.000466)
Location(x=288.797852, y=326.610138, z=0.000453)
Location(x=288.300842, y=326.610138, z=0.000444)
Location(x=287.818298, y=326.610138, z=0.000441)
Location(x=287.335999, y=326.610016, z=0.000443)
Location(x=286.815918, y=326.609985, z=0.000452)
Location(x=286.323303, y=326.609985, z=0.000465)
Location(x=285.808594, y=326.609985, z=0.000479)
Location(x=285.286041, y=326.609985, z=0.000485)
Location(x=284.753906, y=326.609985, z=0.000483)
Location(x=284.247467, y=326.609985, z=0.000473)
Location(x=283.750549, y=326.609985, z=0.000461)
Location(x=283.247620, y=326.609833, z=0.000449)
Location(x=282.762512, y=326.609680, z=0.000442)
Location(x=282.292755, y=326.609528, z=0.000440)
Location(x=281.787994, y=326.609375, z=0.000445)
Location(x=281.306702, y=326.609222, z=0.000455)
Location(x=280.799530, y=326.609070, z=0.000469)
Location(x=280.279510, y=326.608887, z=0.000481)
Location(x=279.759186, y=326.608734, z=0.000486)
Location(x=279.243073, y=326.608582, z=0.000481)
Location(x=278.728516, y=326.608429, z=0.000470)
Location(x=278.232758, y=326.608276, z=0.000457)
Location(x=277.703888, y=326.608124, z=0.000446)
Location(x=277.211945, y=326.608093, z=0.000440)
Location(x=276.710724, y=326.608002, z=0.000440)
Location(x=276.246887, y=326.607849, z=0.000447)
Location(x=275.747559, y=326.607697, z=0.000460)
Location(x=275.252136, y=326.607544, z=0.000474)
Location(x=274.722443, y=326.607361, z=0.000484)
Location(x=274.207306, y=326.607208, z=0.000486)
Location(x=273.661682, y=326.607056, z=0.000478)
Location(x=273.164459, y=326.606873, z=0.000465)
Location(x=272.683380, y=326.606720, z=0.000454)
Location(x=272.189545, y=326.606567, z=0.000444)
Location(x=271.708832, y=326.606598, z=0.000440)
Location(x=271.239594, y=326.606598, z=0.000442)
Location(x=270.761566, y=326.606598, z=0.000451)
Location(x=270.270447, y=326.606598, z=0.000463)
Location(x=269.765472, y=326.606598, z=0.000476)
Location(x=269.244965, y=326.606598, z=0.000483)
Location(x=268.731873, y=326.606598, z=0.000482)
Location(x=268.223389, y=326.606598, z=0.000474)
Location(x=267.711884, y=326.606598, z=0.000462)
Location(x=267.212097, y=326.606598, z=0.000450)
Location(x=266.729462, y=326.606598, z=0.000443)
Location(x=266.239502, y=326.606598, z=0.000441)
Location(x=265.735870, y=326.606598, z=0.000445)
Location(x=265.250824, y=326.606598, z=0.000455)
Location(x=264.760132, y=326.606598, z=0.000470)
Location(x=264.247650, y=326.606598, z=0.000481)
Location(x=263.737579, y=326.606598, z=0.000486)
Location(x=263.230865, y=326.606598, z=0.000481)
Location(x=262.726562, y=326.606506, z=0.000469)
Location(x=262.228210, y=326.606476, z=0.000457)
Location(x=261.726257, y=326.606506, z=0.000446)
Location(x=261.243134, y=326.606506, z=0.000440)
Location(x=260.772156, y=326.606506, z=0.000440)
Location(x=260.288208, y=326.606506, z=0.000447)
Location(x=259.795990, y=326.606506, z=0.000460)
Location(x=259.300537, y=326.606506, z=0.000473)
Location(x=258.788696, y=326.606384, z=0.000484)
Location(x=258.272736, y=326.606232, z=0.000485)
Location(x=257.751404, y=326.606079, z=0.000478)
Location(x=257.240723, y=326.606079, z=0.000466)
Location(x=256.749695, y=326.606079, z=0.000454)
Location(x=256.249054, y=326.606079, z=0.000444)
Location(x=255.744720, y=326.606079, z=0.000440)
Location(x=255.258255, y=326.606079, z=0.000442)
Location(x=254.779663, y=326.606079, z=0.000450)
Location(x=254.301590, y=326.606079, z=0.000464)
Location(x=253.801346, y=326.606079, z=0.000478)
Location(x=253.286102, y=326.606079, z=0.000485)
Location(x=252.752319, y=326.606079, z=0.000483)
Location(x=252.233261, y=326.605927, z=0.000473)
Location(x=251.733398, y=326.605774, z=0.000461)
Location(x=251.243958, y=326.605621, z=0.000450)
Location(x=250.757828, y=326.605469, z=0.000442)
Location(x=250.263947, y=326.605316, z=0.000440)
Location(x=249.795944, y=326.605164, z=0.000445)
Location(x=249.316208, y=326.604980, z=0.000456)
Location(x=248.827026, y=326.604828, z=0.000470)
Location(x=248.284454, y=326.604675, z=0.000481)
Location(x=247.738297, y=326.604523, z=0.000483)
Location(x=247.223724, y=326.604370, z=0.000478)
Location(x=246.715118, y=326.604218, z=0.000468)
Location(x=246.208542, y=326.604065, z=0.000456)
Location(x=245.711029, y=326.603912, z=0.000447)
Location(x=245.221054, y=326.603729, z=0.000442)
Location(x=244.737900, y=326.603577, z=0.000443)
Location(x=244.241013, y=326.603424, z=0.000450)
Location(x=243.739258, y=326.603271, z=0.000462)
Location(x=243.216614, y=326.603271, z=0.000475)
Location(x=242.690582, y=326.603271, z=0.000482)
Location(x=242.155441, y=326.603271, z=0.000482)
Location(x=241.652786, y=326.603271, z=0.000474)
Location(x=241.140320, y=326.603271, z=0.000463)
Location(x=240.646622, y=326.603271, z=0.000452)
Location(x=240.155853, y=326.603271, z=0.000444)
Location(x=239.669739, y=326.603271, z=0.000441)
Location(x=239.202499, y=326.603271, z=0.000444)
Location(x=238.597549, y=326.603271, z=0.000456)
Location(x=238.047958, y=326.603271, z=0.000472)
Location(x=237.514511, y=326.603302, z=0.000483)
Location(x=237.007477, y=326.603302, z=0.000486)
Location(x=236.500641, y=326.603302, z=0.000479)
Location(x=235.979141, y=326.603302, z=0.000466)
Location(x=235.488144, y=326.603302, z=0.000454)
Location(x=235.006012, y=326.603302, z=0.000445)
Location(x=234.515411, y=326.603302, z=0.000440)
Location(x=234.050247, y=326.603302, z=0.000441)
Location(x=233.577682, y=326.603302, z=0.000449)
Location(x=233.067978, y=326.603302, z=0.000462)
Location(x=232.583603, y=326.603210, z=0.000474)
Location(x=232.075287, y=326.603210, z=0.000484)
Location(x=231.576675, y=326.603210, z=0.000485)
Location(x=231.067902, y=326.603210, z=0.000477)
Location(x=230.564590, y=326.603210, z=0.000464)
Location(x=230.075424, y=326.603210, z=0.000452)
Location(x=229.585617, y=326.603210, z=0.000443)
Location(x=229.106506, y=326.603210, z=0.000440)
Location(x=228.642731, y=326.603210, z=0.000443)
Location(x=228.156876, y=326.603210, z=0.000452)
Location(x=227.683334, y=326.603149, z=0.000465)
Location(x=227.194412, y=326.603119, z=0.000478)
Location(x=226.691025, y=326.602997, z=0.000484)
Location(x=226.188477, y=326.602875, z=0.000482)
Location(x=225.687866, y=326.602722, z=0.000473)
Location(x=225.198730, y=326.602539, z=0.000461)
Location(x=224.719940, y=326.602478, z=0.000450)
Location(x=224.241287, y=326.602325, z=0.000442)
Location(x=223.770676, y=326.602264, z=0.000440)
Location(x=223.303986, y=326.602234, z=0.000445)
Location(x=222.835205, y=326.602142, z=0.000455)
Location(x=222.336014, y=326.601990, z=0.000469)
Location(x=221.842941, y=326.601837, z=0.000480)
Location(x=221.315079, y=326.601685, z=0.000484)
Location(x=220.794113, y=326.601501, z=0.000479)
Location(x=220.298889, y=326.601349, z=0.000468)
Location(x=219.813477, y=326.601288, z=0.000457)
Location(x=219.322723, y=326.601135, z=0.000447)
Location(x=218.846481, y=326.601074, z=0.000442)
Location(x=218.371094, y=326.600983, z=0.000442)
Location(x=217.893524, y=326.600983, z=0.000449)
Location(x=217.410034, y=326.600983, z=0.000460)
Location(x=216.918777, y=326.600983, z=0.000473)
Location(x=216.425674, y=326.600983, z=0.000482)
Location(x=215.916855, y=326.600983, z=0.000483)
Location(x=215.416687, y=326.600983, z=0.000476)
Location(x=214.929840, y=326.600983, z=0.000465)
Location(x=214.444641, y=326.600983, z=0.000454)
Location(x=213.970917, y=326.600983, z=0.000446)
Location(x=213.501694, y=326.600983, z=0.000442)
Location(x=213.030685, y=326.600983, z=0.000444)
Location(x=212.568817, y=326.600983, z=0.000452)
Location(x=212.078934, y=326.600983, z=0.000463)
Location(x=211.581757, y=326.600983, z=0.000475)
Location(x=211.083237, y=326.600983, z=0.000482)
Location(x=210.561386, y=326.600983, z=0.000480)
Location(x=210.057846, y=326.600983, z=0.000472)
Location(x=209.562820, y=326.600983, z=0.000461)
Location(x=209.084549, y=326.600983, z=0.000451)
Location(x=208.618317, y=326.600983, z=0.000445)
Location(x=208.153351, y=326.600983, z=0.000443)
Location(x=207.664688, y=326.600983, z=0.000447)
Location(x=207.168060, y=326.600983, z=0.000456)
Location(x=206.646622, y=326.600983, z=0.000467)
Location(x=206.140488, y=326.600983, z=0.000477)
Location(x=205.620499, y=326.600983, z=0.000482)
Location(x=204.984451, y=326.600983, z=0.000476)
Location(x=204.483810, y=326.600983, z=0.000466)
Location(x=203.998917, y=326.600983, z=0.000456)
Location(x=203.512497, y=326.600861, z=0.000447)
Location(x=203.033142, y=326.600708, z=0.000443)
Location(x=202.561340, y=326.600677, z=0.000445)
Location(x=202.088531, y=326.600555, z=0.000451)
Location(x=201.606018, y=326.600586, z=0.000462)
Location(x=201.112396, y=326.600586, z=0.000473)
Location(x=200.609787, y=326.600586, z=0.000480)
Location(x=200.117050, y=326.600586, z=0.000480)
Location(x=199.601578, y=326.600586, z=0.000473)
Location(x=199.104523, y=326.600586, z=0.000463)
Location(x=198.619461, y=326.600586, z=0.000453)
Location(x=198.145523, y=326.600586, z=0.000446)
Location(x=197.685089, y=326.600586, z=0.000443)
Location(x=197.214432, y=326.600586, z=0.000447)
Location(x=196.744431, y=326.600433, z=0.000455)
Location(x=196.256454, y=326.600311, z=0.000466)
Location(x=195.751816, y=326.600220, z=0.000476)
Location(x=195.245041, y=326.600037, z=0.000480)
Location(x=194.739914, y=326.599884, z=0.000478)
Location(x=194.227814, y=326.599731, z=0.000469)
Location(x=193.743164, y=326.599670, z=0.000459)
